generation,elite_fitness,mean_fitness,elite_fitness,elite_min_radius,elite_highest_platform_reached,elite_mountain_collision_ratio,elite_flying_ratio,elite_wall_proximity_ratio,elite_long_path_ratio,elite_total_motor_effort,elite_useless_motor_effort,elite_links,mean_min_radius,mean_highest_platform_reached,mean_mountain_contact_ratio,mean_flying_ratio,mean_wall_proximity_ratio,mean_long_path_ratio,mean_total_motor_effort,mean_useless_motor_effort,mean_links
0,23388.685529581297,1428.703569499425,23388.685529581297,5.30439181882598,2.220446049250313e-16,0.0625,0.0,0.0,1.4861447452220362,5187.862813510287,19127.176881061674,3.0,6.457594026816579,0.06294704806813459,0.019527777777777776,0.05593055555555556,0.2430555555555555,5.661092606550211,4900.963199280749,11448.257221311762,3.8
1,23388.685529581297,1530.8459322386989,23388.685529581297,5.30439181882598,2.220446049250313e-16,0.0625,0.0,0.0,1.4861447452220362,5187.862813510287,19127.176881061674,3.0,6.779716394457128,0.034732810970937604,0.014819444444444444,0.007861111111111112,0.04718055555555555,3.3365112152782745,3925.647395608286,12210.171249598303,3.7333333333333334
2,23388.685529581297,2622.722389120042,23388.685529581297,5.30439181882598,2.220446049250313e-16,0.0625,0.0,0.0,1.4861447452220362,5187.862813510287,19127.176881061674,3.0,6.782784760322869,0.009994271385622108,0.024902777777777777,0.0020833333333333333,0.07331944444444445,2.467761949394885,4812.503280276386,16910.991795001177,3.3666666666666667
3,23388.685529581297,1639.4658523345106,23388.685529581297,5.30439181882598,2.220446049250313e-16,0.0625,0.0,0.0,1.4861447452220362,5187.862813510287,19127.176881061674,3.0,7.06967986590412,0.011006489864817358,0.0225,0.0,0.09852777777777777,2.578705213619228,4995.349842546278,18392.338579077878,2.3666666666666667
4,23388.685529581297,955.9620446243057,23388.685529581297,5.30439181882598,2.220446049250313e-16,0.0625,0.0,0.0,1.4861447452220362,5187.862813510287,19127.176881061674,3.0,6.951700852236899,0.022397977447640764,0.011111111111111112,0.004930555555555555,0.1744027777777778,2.8486601223977512,4711.530763235008,14043.705628783566,3.066666666666667
5,23388.685529581297,1116.1264097872192,23388.685529581297,5.30439181882598,2.220446049250313e-16,0.0625,0.0,0.0,1.4861447452220362,5187.862813510287,19127.176881061674,3.0,6.834468573061733,0.0028890041897640826,0.006527777777777777,0.0,0.0945,3.6836816011031055,6528.072179323546,25321.267494298223,2.8
6,23388.685529581297,901.1038295978524,23388.685529581297,5.30439181882598,2.220446049250313e-16,0.0625,0.0,0.0,1.4861447452220362,5187.862813510287,19127.176881061674,3.0,6.902799579640459,0.017904381577383187,0.004388888888888889,0.008305555555555556,0.18168055555555554,3.874362286841596,5689.6541204962805,18907.977201223584,3.3333333333333335
7,23388.685529581297,2237.711942907904,23388.685529581297,5.30439181882598,2.220446049250313e-16,0.0625,0.0,0.0,1.4861447452220362,5187.862813510287,19127.176881061674,3.0,6.795537713988747,2.6645352591003756e-16,0.012,0.0008194444444444444,0.11940277777777777,3.148264905192698,5119.928629879728,16810.36641557952,3.1
8,23388.685529581297,1724.7265773194672,23388.685529581297,5.30439181882598,2.220446049250313e-16,0.0625,0.0,0.0,1.4861447452220362,5187.862813510287,19127.176881061674,3.0,6.975013608788133,0.04148125368976974,0.003152777777777778,0.015625,0.15436111111111112,3.166009362010846,4749.467589032794,14805.110964846364,2.933333333333333
9,23388.685529581297,1497.9537035186197,23388.685529581297,5.30439181882598,2.220446049250313e-16,0.0625,0.0,0.0,1.4861447452220362,5187.862813510287,19127.176881061674,3.0,6.9764938595814785,2.4794980883295163e-16,0.005694444444444445,0.0,0.136375,2.9483269851587397,4958.372306904948,16742.001079642072,3.1333333333333333
